250	6529.981642939933	13270.97052889033	19977.24449019312	27419.825586373474	35224.43048244358	42927.905971930915	49348.996703175035	55689.75532677276	61953.41514158635	68852.38877665928	74897.59250160701	82707.6259254434	89530.46630498768	97407.7505109858	103508.93308783826	110076.84672796236	116265.76185127543	122672.78262250131	128690.2657409446	135468.06030059917	142102.52624655227	149715.77439313772	156549.4341890793	163041.3230414523	169228.7806999384	175562.60805646295	182114.3549127269
0	2	1	2	1	2	2	2	1	1	2	2	2	1	2	1	2	1	1	1	1	2	1	1	1	2	1	1
4	1	1	4	4	1	4	1	1	1	4	1	4	4	1	1	4	4	4	4	4	1	1	1	1	4	4	4
250	6327.926352325498	13042.52198663759	19882.492702700358	27415.273583028444	34602.93700163965	40748.92928631419	46780.98267757912	53061.115346328545	60405.82816086628	66532.6068946432	72608.07719959707	80592.77298547434	86702.78539585837	93402.47954020073	101025.9132715962	107893.40503037142	114087.49620047555	121241.16772881905	128133.42068688347	135726.80987915644	142710.2674703821	150571.11224729838	157091.3870503615	164666.2084908841	171794.42177783014	179147.68055868841	185533.8562135302
0	2	2	2	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	2	2	1	1	2	2	2	1	1
1	4	1	4	4	4	1	1	1	1	4	4	4	1	1	4	1	1	1	4	1	1	1	4	1	4	4	4
250	6339.735041608814	14176.417416273658	20904.406724118726	27085.37253359416	33216.40028571432	40301.92007713902	46677.79034781688	53705.54019679081	60831.84119401499	67525.50031659676	74353.39729924194	80541.41086220185	87951.14895897453	94939.15249096166	101543.54389207065	107964.48717397885	114136.66903356153	121450.35950791827	129420.24495658104	135996.2030059103	142467.53498828562	149569.5870712953	157545.1277121886	164378.90679420525	171750.55301036657	179390.44302431782	186859.83607694154
0	2	2	2	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	2
1	4	1	4	4	1	4	1	1	1	1	1	1	1	4	4	4	4	4	4	4	1	1	4	4	1	4	1
250	8134.3419440927955	14266.99121907339	20521.567364342118	27058.83709051234	34559.74490544437	41369.51923977794	47885.278163289404	55790.48454948776	61998.31778949665	68131.93672767836	74627.40946532183	81188.3900653639	89166.265937663	95301.48463277923	103217.94502916682	110082.8563368275	117448.0813907647	124891.58861414192	132616.43384625303	139004.18968673932	145574.03392005732	151679.35162709662	158419.1226936683	165529.97708118465	171726.63770616276	178249.29678533226	185341.05222205597
0	1	2	1	1	2	2	1	2	2	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	1	1	1
1	1	4	4	4	1	4	4	1	4	4	1	1	4	4	4	4	1	1	1	1	4	1	4	1	1	1	1
250	6359.354212107087	13183.896706834026	19257.261585563967	26486.448021906683	33735.65854682911	40527.475566891255	47578.36078827335	54349.39969648459	61003.06658372823	67957.43044704865	75110.01378337517	81971.91768229866	88084.54477642933	95501.09640301683	101861.54371397948	108497.48150634207	115125.45589368985	121989.94427923694	129706.66929873885	137097.92196238932	144065.87081542	150158.52992916357	157528.45104434763	164238.07908927405	170821.15083425128	176927.51461300947	184103.4675637811
0	2	1	2	1	1	2	2	2	2	2	1	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1
1	4	4	1	1	1	4	1	4	1	4	4	1	4	1	4	4	4	4	4	4	4	1	1	1	1	1	1
250	6728.942146792882	13956.077204333922	21178.633099479695	27340.926035777073	34839.455009335856	41587.82232778985	48423.51746961582	54508.36711012554	60719.4783938422	68176.704683483	75815.52397950727	83766.44867612526	91630.9121135033	98567.99211927656	105035.68817708276	111936.3132887938	119345.60824237633	125850.00311215	132148.1047368362	138185.216172974	145667.92313869068	152978.0750578188	159657.664726215	166811.48673944216	173720.1079859323	179753.95895322046	186487.6612112341
0	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	2	1	2
4	4	4	1	4	4	4	1	1	1	1	1	1	1	1	4	1	1	4	1	4	1	4	4	1	4	4	1
250	6366.545643663416	12490.404291685749	19134.202560979735	25669.343258834113	32742.371896714052	39363.84657055748	47328.00016624327	53854.35548502064	60057.08230546202	66567.3254293922	74553.5727654168	80644.60564439824	88573.60122455124	95944.50288616042	102894.14711349293	109303.93825661934	115455.53138099349	122157.43681903629	128821.10995536672	135719.1423841621	141864.81241832132	148271.61700381569	155757.86790195425	162402.2390931814	168423.19650131342	176219.68404266573	183173.21106945525
0	1	1	2	2	1	2	1	1	1	1	1	1	2	2	2	2	1	2	2	2	1	1	2	2	1	1	1
4	4	4	1	4	4	1	1	1	1	1	1	1	4	1	4	1	1	4	1	4	4	4	1	4	4	4	4
